年平均每日交通量,主梁材質_預力混凝土,平均月相對濕度,橋梁總長(M),離海岸距離(公尺),設計垂直地震力係數,是否為跨水橋,橋梁最接近斷層距離,橋下有無租用,label
8983.0,1,79.45075758,50.0,1337,0.1,0,13388.13,0,0
9257.0,1,79.45075758,80.0,1808,0.1,1,13611.14,0,0
8983.0,1,79.45075758,60.0,1818,0.1,1,13588.29,0,0
8983.0,0,79.45075758,319.7,52,0.1,0,14806.87,1,1
9257.0,0,79.45075758,339.81,73,0.1,0,14737.54,1,1
9257.0,0,79.45075758,49.73,140,0.1,0,14925.44,1,1
8983.0,0,79.45075758,61.25,131,0.1,0,14618.65,0,1
9257.0,0,79.45075758,403.0,66,0.1,0,14577.02,0,1
9257.0,0,79.45075758,55.39,190,0.1,0,14583.06,0,1
9257.0,1,79.45075758,725.0,2466,0.1,1,13612.08,1,0
8983.0,1,79.45075758,690.0,2469,0.1,1,13579.22,1,0
9257.0,1,79.45075758,539.0,4194,0.1,1,13902.11,1,0
8983.0,1,79.45075758,545.0,3969,0.1,1,13719.41,1,0
8983.0,1,79.45075758,695.0,2346,0.1,1,13610.97,1,0
9257.0,1,79.45075758,315.0,2548,0.1,1,13672.43,1,0
8983.0,1,79.45075758,270.0,2603,0.1,1,13611.25,0,0
19969.0,1,76.23863636,30.32,22042,0.1,1,2198.92,0,0
19891.0,1,76.23863636,95.04,21452,0.1,0,1946.45,0,0
19969.0,1,76.23863636,90.32,21344,0.1,1,1900.26,0,0
19969.0,1,76.23863636,639.14,20766,0.1,1,1482.57,0,0
19891.0,1,76.23863636,38.12,20448,0.1,0,1133.38,0,0
19969.0,1,76.23863636,300.3,20183,0.1,1,670.33,0,0
19891.0,1,76.23863636,90.32,19901,0.1,1,438.3,0,0
53036.0,1,81.56313131,1523.2,15728,0.05,0,9740.25,1,0
51376.0,1,81.56313131,1733.2,16183,0.05,0,10374.96,1,0
17025.0,1,76.23863636,27.82,17109,0.1,0,2287.78,0,0
17031.0,1,76.23863636,105.32,18606,0.1,1,1457.95,0,0
17025.0,1,76.23863636,105.42,17317,0.1,1,1848.21,0,0
53799.0,1,81.56313131,1703.2,16197,0.05,0,10387.26,1,0
36224.0,1,76.78156566,89.36,20797,0.1,1,6000.89,0,0
36224.0,1,76.78156566,25.75,20766,0.1,0,6021.8,0,0
17519.0,1,76.23863636,150.32,9311,0.1,1,75.36,1,0
21825.0,1,76.23863636,68.0,2593,0.1,0,3599.7,0,0
21825.0,1,76.23863636,105.0,1635,0.1,0,3558.86,0,0
21825.0,1,76.23863636,110.0,1595,0.1,0,3668.61,0,0
0.0,1,76.23863636,73.5,15115,0.1,0,3229.51,0,0
17025.0,1,76.23863636,796.8,15929,0.1,1,3104.36,0,0
17031.0,1,76.23863636,65.9,13369,0.1,0,1691.43,0,0
17025.0,1,76.23863636,112.82,12682,0.1,1,1307.4,0,0
17519.0,1,76.23863636,73.1,10771,0.1,0,1245.84,0,0
17031.0,1,76.23863636,55.26,16855,0.1,0,2762.36,0,1
17031.0,1,76.23863636,96.9,15609,0.1,0,3480.74,0,1
17031.0,1,76.23863636,37.82,14947,0.1,1,3149.44,0,0
21320.0,1,81.56313131,40.0,17695,0.1,0,10431.51,0,0
24375.0,1,81.56313131,144.04,19333,0.1,0,9958.31,0,0
22825.0,1,76.23863636,320.0,2869,0.1,0,3428.09,0,0
17519.0,1,76.23863636,97.1,11593,0.1,0,1417.63,0,0
31389.0,0,76.78156566,495.0,19892,0.1,0,9546.76,0,0
31389.0,1,76.78156566,176.0,20075,0.12,0,9767.48,0,0
21825.0,1,76.23863636,240.1,3788,0.1,0,3016.15,0,0
21825.0,1,76.23863636,400.0,2145,0.1,1,3433.18,1,0
17031.0,1,76.23863636,30.22,14013,0.1,0,2289.52,0,0
24375.0,1,81.56313131,90.0,19153,0.1,0,10102.36,0,0
20224.0,1,76.23863636,110.0,1612,0.1,0,3843.92,0,0
24375.0,1,81.56313131,87.52,18610,0.1,0,10407.84,0,0
34621.0,1,76.78156566,43.89,20586,0.1,0,5117.25,1,0
39468.0,1,76.78156566,77.0,20791,0.1,0,9190.05,0,0
40550.0,1,76.78156566,359.36,20617,0.1,1,6049.02,0,0
41282.0,1,76.78156566,25.82,19950,0.1,0,6475.08,0,0
40550.0,1,76.78156566,30.0,20561,0.1,1,8785.47,0,0
395435.0,1,76.78156566,40.0,20368,0.12,0,10601.98,0,0
24681.0,1,81.56313131,60.0,21911,0.1,1,6429.49,0,0
24375.0,1,81.56313131,75.0,22806,0.1,1,5580.84,0,0
24375.0,1,81.56313131,72.0,22599,0.1,0,3717.88,0,0
24375.0,1,81.56313131,62.5,22586,0.1,0,4686.26,0,0
24375.0,1,81.56313131,29.0,24220,0.1,0,3472.9,0,0
24375.0,1,81.56313131,58.0,24278,0.1,0,3451.67,0,0
39468.0,1,76.78156566,17.5,20750,0.12,0,10708.07,0,0
24375.0,1,81.56313131,77.0,23367,0.1,0,3388.46,0,0
24681.0,1,81.56313131,16.4,23598,0.1,0,3417.61,0,0
24375.0,1,81.56313131,75.0,24210,0.1,0,3413.85,0,0
24375.0,1,81.56313131,39.92,24917,0.1,1,4235.14,0,0
34621.0,1,76.78156566,20.0,20498,0.1,0,5077.97,0,0
34621.0,1,76.78156566,20.2,20531,0.12,0,5117.98,0,0
20155.0,1,81.56313131,77.0,24373,0.1,0,4974.17,0,0
20155.0,1,81.56313131,90.0,23519,0.1,1,5453.34,0,0
20086.0,1,81.56313131,52.5,23287,0.1,0,5969.04,0,0
20086.0,1,81.56313131,103.0,23525,0.1,0,7158.47,0,0
34621.0,1,76.78156566,17.5,20450,0.1,0,5065.8,0,0
36224.0,1,76.78156566,17.5,20424,0.1,0,5136.29,0,0
36224.0,1,76.78156566,22.5,20448,0.1,1,5046.94,1,0
20196.0,1,76.23863636,90.0,25915,0.12,0,3758.31,0,0
20196.0,1,76.23863636,60.0,23458,0.1,0,1972.69,0,0
17519.0,1,76.23863636,90.32,7556,0.1,0,730.88,0,0
17519.0,1,76.23863636,120.0,5549,0.1,0,2270.35,0,0
22825.0,1,76.23863636,85.0,3516,0.1,0,3201.08,0,0
17519.0,1,76.23863636,35.12,7306,0.1,0,739.81,0,0
17519.0,1,76.23863636,174.22,7523,0.1,0,690.94,0,0
21825.0,1,76.23863636,87.0,4269,0.1,0,2921.06,0,0
56805.0,1,81.56313131,33.0,11378,0.05,0,12695.53,1,0
56805.0,1,81.56313131,40.0,13101,0.05,0,11336.04,0,0
24375.0,1,81.56313131,72.5,22507,0.1,0,4030.64,0,0
20086.0,1,81.56313131,100.0,25175,0.1,0,5362.61,0,0
20086.0,1,81.56313131,70.0,24991,0.1,1,5574.05,0,0
17519.0,1,76.23863636,113.5,7431,0.1,0,862.72,0,0
17519.0,1,76.23863636,84.0,6840,0.1,0,1248.01,0,0
20086.0,1,76.23863636,570.0,25519,0.1,1,4528.09,0,0
19891.0,1,76.23863636,700.0,24833,0.1,1,2274.67,1,0
17519.0,1,76.23863636,210.12,7774,0.1,0,669.95,0,0
20224.0,1,76.23863636,120.0,1541,0.1,1,3767.46,0,0
24375.0,1,81.56313131,146.64,19288,0.1,0,9971.32,0,0
31389.0,1,76.78156566,25.1,19986,0.1,1,9645.76,0,0
19891.0,1,76.23863636,72.0,23599,0.1,0,2239.9,0,0
17519.0,1,76.23863636,90.8,8737,0.1,0,31.34,0,0
39468.0,1,76.78156566,760.0,20944,0.1,1,10087.25,1,0
17519.0,1,76.23863636,112.86,8422,0.1,1,103.0,0,0
17519.0,1,76.23863636,35.12,7367,0.1,0,854.43,0,0
17025.0,1,76.23863636,245.0,6348,0.1,1,1458.24,1,0
17519.0,1,76.23863636,105.0,7999,0.1,1,760.3,0,0
17519.0,1,76.23863636,66.0,6153,0.1,0,1763.88,0,0
24375.0,1,81.56313131,45.0,18301,0.1,0,10603.63,0,0
24375.0,1,81.56313131,88.0,18639,0.1,0,10382.88,0,0
17519.0,1,76.23863636,90.22,7598,0.1,1,645.39,0,0
17519.0,1,76.23863636,187.82,7556,0.1,0,730.86,0,0
17519.0,1,76.23863636,90.62,7997,0.1,1,773.75,0,0
74040.0,1,81.56313131,128.25,13433,0.05,1,7090.6,0,0
